anlaegsbetydning,en_anlaegsbetydning,fa-icon,counts,most_frequent_datering,datering_distributions,definition,web_search_sources
Kampplads,Fightground,undo,6,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 2, 'Middelalder': 2, 'Efterreformatorisk tid': 1, 'Nyere tid': 1}","En kampplads er et sted, hvor der har været en krig eller et væbnede konflikt, og som ofte indeholder fysiske spor som gravmarkere, våben og skud, samt måske ældre bygninger, der blev ødelagt under slagen.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Fængsel,Prison,person-booth,6,Nyere tid,{'Nyere tid': 6},"Et fængsel er et sted, hvor mennesker blev indeholdt mod deres vilje, typisk med mure, gitter og andre fysiske begrænsninger, og som kan give os indsigt i historiske retssysteme og fængslebetingelser.","['https://ordnet.dk/ddo/ordbog?query=fortid', 'https://fortidsmindeguide.dk/tidsalder/middelalder/erik-glippings-jagthytte', 'https://museumhorsens.dk/arkaeologi/kulturmiljoeer']"
Muret grav,Walled Dig,digg,6,Middelalder,"{'Middelalder': 4, 'Historisk Tid': 2}","Et muret grav er en type grav, hvor den døde er placeret inden for en mur eller stenstruktur, som ofte er udstyret med en dør eller åbning, som kan have religiøse eller symbolske betydninger.","['https://www.museumskanderborg.dk/begravelser-ved-%C3%B8m-kloster', 'https://drivhus.nu/muret-drivhus/']"
Jordfæste på træunderlag,Ground hilt on wooden floors,toggle-on,6,Stenalder,"{'Stenalder': 4, 'Jernalder': 2}","Et jordfæste på træunderlag er en type grav, hvor den dødes kiste eller lig er placeret direkte på et træunderlag under jorden, som ofte er forbundet med visdom og magt.","['https://slks.dk/arkaeologisk-strategier/jernalder-aej-500-fkr-400-ekr-yj-400-800-ekr-vikingetid-800-1050-ekr/gravfund', 'https://da.wikipedia.org/wiki/Nordisk_f%C3%B8r-kristen_begravelse']"
Gravkapel,Gravcapel,grav,6,Nyere tid,"{'Nyere tid': 3, 'Historisk Tid': 1, 'Middelalder': 1, 'Udateret': 1}","En gravkapel er en lille bygning eller struktur, der er opført over en eller flere gravhøjler, som betegnes som et sted til at huske og ære de døde, og som ofte er forbundet med religiøse ritualer.","['https://fortidsmindeguide.dk/tidsalder/vikingetid/borup-kirke-runesten', 'https://trap5.lex.dk/kapitel/fortidsminder-faeroeerne/', 'https://synonym-ordbog.dk/ord/j%C3%A6ttestue']"
Anlæg afventer klassifikation,Installations awaiting classification,icons,6,Udateret,"{'Udateret': 4, 'Nyere tid': 1, 'Oldtid': 1}","Anlæg afventer klassifikation er en kategori for historiske steder eller strukturer, hvis formål og oprindelse endnu ikke er fuldt opklaret, og som kræver videre undersøgelse og analyse for at blive korrekt forstået og kategoriseret.","['https://fortidsmindeguide.dk/tidsalder/vikingetid/borup-kirke-runesten', 'https://trap5.lex.dk/kapitel/fortidsminder-faeroeerne/', 'https://synonym-ordbog.dk/ord/j%C3%A6ttestue']"
Staldbygning,Building of stables,building,6,Nyere tid,"{'Nyere tid': 4, 'Historisk Tid': 2}","En staldbygning er en type bygning, der er designet til at huse dyr, såsom heste, koer eller andre farmdyr, og som ofte er forbundet med landbrug og gårdmiljøer.","['https://mfkn.naevneneshus.dk/afgoerelse/97266d43-a430-443c-8b12-ae272cad413e', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Stademærke,Stud tag,tag,6,Nyere tid,{'Nyere tid': 6},"Et stademærke er et sted, hvor der tidligere har været en bygning eller struktur, men som nu er nedlagt eller fjernet, og som ofte er kendetegnet ved fundamentresterne eller andre fysiske spor.","['https://trap.lex.dk/Stadem%C3%A6rke,_Folehaveg%C3%A5rd', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Vandværk,Waterworks,at,6,Nyere tid,{'Nyere tid': 6},"Et vandværk er et system eller en struktur, der er designet til at håndtere vandforbrug og -forsyning, herunder rensning, fordeling og lagring, og som er vigtig for at sikre rent og sundt drikkevand for befolkningen.","['https://denstoredanske.lex.dk/vandv%C3%A6rk', 'https://da.wikipedia.org/wiki/Vandv%C3%A6rk', 'https://vandforsyningsplan.htk.dk/om-vandforsyningsplanen/ordforklaring']"
Spang,Spang,spa,5,Udateret,"{'Udateret': 3, 'Nyere tid': 2}","En spang er en type bro, der er bygget af træ, sten eller andre materiale, og som forbinder to punkter over en åbning eller dal, som ofte er en vigtig transport- og forbindelsesrute.","['https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder/udpegning-af-beskyttede-fortidsminder', 'https://www.dr.dk/nyheder/kultur/ib-spang-olsen-er-doed', 'https://www.berlingske.dk/node/31910099']"
Kampanlæg,Fighting systems,assistive-listening-systems,5,Nyere tid,{'Nyere tid': 5},"Et kampanlæg er et sted, der er designet til at uddanne, træne og forberede soldater til krig eller konflikt, og som ofte indeholder øvelsesområder, barakker og andre militære faciliteter.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Fattiggård,FattiggÃ¥rd,at,5,Nyere tid,{'Nyere tid': 5},"En fattiggård er et sted, der er opført til at hjælpe og give tilflugt til fattige og nødlidende, og som ofte er forbundet med religiøse organisationer og deres formål med at yde gavmildhed og hjælp til de svage i samfundet.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Skole,School,school,5,Nyere tid,"{'Nyere tid': 2, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1, 'Middelalder': 1}","En skole er et sted, hvor undervisning og læring finder sted, og som er designet til at uddanne og udvikle børns og ungernes færdigheder inden for akademiske og sociale områder.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Flådebase/-havn,Fleet base/port,file-export,5,Nyere tid,"{'Nyere tid': 3, 'Efterreformatorisk tid': 1, 'Historisk Tid': 1}","En flådebase eller flådehavn er et vigtigt strategisk sted for marineoperationer, som fungerer som en base for krigsskibe, ubåde eller andre fartøjer, og som er designet til at sikre og styrke en nations maritime magt.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.ft.dk/samling/20151/almdel/ufu/bilag/202/1661113.pdf']"
Kildeblok,Source Block,lock,5,Historisk Tid,"{'Historisk Tid': 4, 'Stenalder': 1}","En kildeblok er en struktur, der dækker en naturligt forekommende kilde, som ofte er et sted for sociale begivenheder og traditioner.","['https://da.wikipedia.org/wiki/Helligkilde', 'https://ordnet.dk/ods/ordbog?query=kilde', 'https://ordnet.dk/ods/ordbog?query=kild', 'https://trap.lex.dk/Mindesm%C3%A6rke,_Sandflugtsmonumentet']"
Gadekær,Street crawfish,fish,5,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 2, 'Middelalder': 2, 'Nyere tid': 1}","Et gadekær er et kunstigt udgravet sø, der ofte ligger i centrum af en landsby og har betydning for både mennesker og dyreliv.","['https://sproget.dk/lookup?SearchableText=gadek%C3%A6r', 'https://www.kristeligt-dagblad.dk/danmark/gadek%C3%A6r-skal-igen-v%C3%A6re-landsbyens-%C3%A5ndehul']"
Kaserne,The Casians,th,5,Nyere tid,"{'Nyere tid': 4, 'Historisk Tid': 1}","En kaserne er en militær bygning, der anvendes til at indkvartere soldater og opbevare militært udstyr.","['https://ordnet.dk/ddo/ordbog?query=kaserne', 'https://www.dinordbok.no/norsk-dansk/?q=kaserne', 'https://no.wikipedia.org/wiki/Kaserne', 'https://www.dinordbok.no/dansk-norsk/?q=kaserne', 'https://da.bab.la/ordbog/engelsk-dansk/barracks']"
Navnetræ,Name tree,tree,4,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 2, 'Nyere tid': 2}","Et navnetræ er et træ, der har fået sit navn givet af mennesker, ofte for at ære en person eller begivenhed, og som derfor har en særlig betydning for en lokal community.","['https://www.lingoblog.dk/nyt-dansk-online-navneleksikon-med-ambitioner/', 'https://fyens.dk/assens/det-kan-man-ikke-i-moderne-tog-disse-frugter-er-et-stykke-danmarkshistorie-der-aldrig-gentager-sig']"
Kartoffelkule,Potato-cule,at,4,Nyere tid,{'Nyere tid': 4},"En kartoffelkule er en metode til løslagring af kartofler i jorden, hvor kartoflerne lægges i en dyb kuil med ventilationskanaler, som beskyttes mod frost.","['https://rykindribe.dk/artikler/en-kartoffelkule-har-set-dagens-lys-i-naerheden-af-jedsted-et-eksemplarisk-byggeri/', 'http://gourmethaven.dk/artikel/vis.php?id=28', 'https://www.havenyt.dk/spoergsmaal/koekkenhaven/5093.html']"
Rørledning,Pipe,pied-piper,3,Historisk Tid,"{'Historisk Tid': 2, 'Nyere tid': 1}","En rørledning er en transportrør, der anvendes til at transporterer gas eller andre stoffer over lange afstande, og som kan være en del af en større infrastruktur.",['https://energinet.dk/bp-lillebaelt/']
Luftfartøj,Aircraft,firstdraft,3,Nyere tid,"{'Nyere tid': 2, 'Vikingetid': 1}","Et luftfartøj er et flyvende fartøj, som kan være et fly, et ballon eller et andet fartøj, der bruger luften til at flyve og er et vigtigt symbol for teknologisk fremskridt.",['https://energinet.dk/bp-lillebaelt/']
Pinsebod,Pinsebod,bold,3,Udateret,"{'Udateret': 2, 'Historisk Tid': 1}","En pinsebod er et cirkulært anlæg bestående af to adskilte grave eller grøfter, der ofte har plads til to rækker mennesker rundt om et centralt bord.","['https://trap.lex.dk/Pinsebod,_Nors_-_%231', 'https://trap.lex.dk/Pinsebod,_Nors_-_%232', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Kag,Cake,birthday-cake,3,Historisk Tid,"{'Historisk Tid': 2, 'Nyere tid': 1}","En kag er en type lille båd, der ofte bruges til personlig transport på små søer og floder og er kendetegnet ved sit smalle og lange design.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Replica,Replica,republican,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}","En replica er en nøjagtig kopi af et original objekt eller bygning, der er lavet for at bevare og vise kulturarven.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Udflyttergård,Exodus farm,bus,3,Nyere tid,{'Nyere tid': 3},"En udflyttergård er en type gård, der ofte er videreudviklet fra de smalle, sammenbyggede længer omkring gårdspladsen, og som har klare, koncentrerede planer for både bolig- og landbrugsmæssig brug.","['https://museumodense.dk/artikler/jens-langes-udflyttergaarde/', 'https://danmarkshistorien.lex.dk/Naturen_p%C3%A5_tilbagetog']"
Pakhus,Packing house,parking,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}","Et pakhus er en stor bygning, der anvendes til opbevaring af varer og handelsgods, og som ofte er placeret i nærheden af havne eller transportrutter.","['https://museumodense.dk/artikler/jens-langes-udflyttergaarde/', 'https://danmarkshistorien.lex.dk/Naturen_p%C3%A5_tilbagetog']"
Mole,Mole,mobile,3,['Historisk Tid' 'Nyere tid' 'Udateret'],"{'Historisk Tid': 1, 'Nyere tid': 1, 'Udateret': 1}","En mole er en krydret sauce, der typisk indeholder chokolade og mange andre ingredienser, og som er kendt for sit komplekse smag og de mange forskellige varianter, der findes.","['https://prologue.blogs.archives.gov/2010/12/21/mole-in-place-at-the-archives/', 'https://www.sandiegouniontribune.com/lifestyle/food-and-cooking/story/2023-01-25/mole-magic-straight-from-oaxaca']"
Dansehøj,DancehÃ¸j,adn,3,Nyere tid,"{'Nyere tid': 2, 'Udateret': 1}","Dansehøj er en type gravhøj fra bronzealderen, som ofte er skjult i bebyggede områder, og som i dag er en overraskende og fascinerende kontrast til moderne bymiljø.","['https://da.wikipedia.org/wiki/Dansh%C3%B8j', 'https://www.idoart.dk/blog/glemte-byhoje', 'https://plejehjemsoversigten.dk/da/Nordjylland/Aalborg-Kommune/Danahoej']"
Stejleplads,Steeping space,spa,3,Middelalder,"{'Middelalder': 2, 'Nyere tid': 1}","En stejleplads er et historisk sted, hvor både mennesker og varer blev transporteret op og ned af en åben eller lukket stejle, som ofte var en del af en større transportrute.",['http://emilkirkegaard.dk/da/wp-content/uploads/danish_dict.txt']
Pesttjørn,Gherkins,ns8,3,Nyere tid,{'Nyere tid': 3},"Pesttjørn er et historisk sted, hvor syge, inficerede mennesker blev isoleret fra resten af befolkningen for at begrænse smitten under pestepidemier.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.yumpu.com/da/document/view/19934649/register-1904-1965-danske-studier']"
Bom,Boom,om,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}","Bom er et gammelt måleenhed, der brugtes til at måle afstande, og som svarer til ca. 7,5 km.","['https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder', 'https://www.skalk.dk/artikel/pas-paa-museumspolitiet-kommer/', 'https://sproget.dk/leg-og-ler/ordmuseum/gammeldags-sprog']"
Toldsted,Customs office,om,3,Nyere tid,"{'Nyere tid': 2, 'Historisk Tid': 1}","Et toldsted er et sted, hvor der i fortiden blev indkrævet told af varer, der skulle passere gennem en byport eller over en grænse.","['https://trap.lex.dk/Toldsted,_mv.,_Hj%C3%B8rring_Konsumtionslinje', 'https://trap.lex.dk/Slipshavn_Lodsstation']"
Teater,Theatre,at,3,Nyere tid,{'Nyere tid': 3},"Teater er en type scenekunst, hvor en fortælling bliver fortalt og spillet op af skuespillere for et fysisk til stede publikum.","['https://slks.dk/omraader/kulturarv/databaserne/fund-og-fortidsminder', 'https://slks.dk/omraader/kulturarv/beskyttede-fortidsminder', 'https://www.dr.dk/nyheder/kultur/teatret-overlever-os-alle-sammen-det-er-meget-staerkere-end-netflix', 'https://vhm.dk/nyheder/vendsyssel-har-faaet-et-nyt-fredet-fortidsminde/']"
Modstandskampen,The Resistance Fight,the-red-yeti,3,Nyere tid,{'Nyere tid': 3},"Modstandskampen var danskernes aktivitet mod tyskerne under anden verdenskrig, hvor de organiseret arbejde mod besættelsesmagten og de danske samarbejdspartnere.","['https://denstoredanske.lex.dk/modstandsbev%C3%A6gelse_-_2._Verdenskrig', 'https://da.wikipedia.org/wiki/Den_danske_modstandsbev%C3%A6gelse', 'https://faktalink.dk/titelliste/besa/besamods', 'https://danmarkshistorien.dk/vis/materiale/besaettelsestiden-i-eftertidens-lys-1']"
Administrationsbygning,Administration building,building,2,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 1, 'Nyere tid': 1}","En administrationsbygning er et sted, hvor offentlige eller private administrationer har hjemmehørvet, og hvor der blev håndteret forvaltning og ledelse af forretninger, samt opbevaring af arkiver.","['https://mfkn.naevneneshus.dk/afgoerelse/3a0097b4-8349-4b1e-9106-caae818c948c', 'https://da.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments_2011/Fund_og_fortidsminder']"
Fontæne,Fountain,mountain,2,Nyere tid,{'Nyere tid': 2},"Fontæner er et vigtigt element i havekunst, som har spillet en symbolsk rolle i mange kulturer, og som ofte er forbundet med mytologiske figurer og historiske begivenheder.","['https://denstoredanske.lex.dk/font%C3%A6ne', 'https://ordnet.dk/ddo/ordbog?query=font%C3%A6ne', 'https://sproget.dk/lookup?SearchableText=font%C3%A6ne', 'https://da.wikipedia.org/wiki/Springvand', 'https://symbolleksikon.lex.dk/font%C3%A6ne']"
Perlefremstilling,Pearl production,road,2,['Jernalder' 'Vikingetid'],"{'Jernalder': 1, 'Vikingetid': 1}","Perlefremstilling er en gammel kunsthåndværkskunst, hvor man fremstiller perler af glass, der ofte bliver brugt til smykker eller dekorationsformål.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.academia.edu/2989122/Gensyn_med_Syvsig_En_landsby_fra_yngre_romersk_jernalder_og_vikingetid', 'https://www.academia.edu/17877522/Henriksen_M_B_2009_Brudager_Mark_en_romertidsgravplads_n%C3%A6r_Gudme_p%C3%A5_Syd%C3%B8stfyn_Bind_1_Tekst_Fynske_Jernaldergrave_bd_6_1_Fynske_Studier_22_Odense']"
Bådplads i vandkant/Kås,Boat site in water edge/Clock,clock,2,['Nyere tid' 'Udateret'],"{'Nyere tid': 1, 'Udateret': 1}","En bådplads i vandkanten, også kendt som en kås, er et sted, hvor både kan ankomme og afvige, som ofte er udstyret med en ankerplads og et sted til at trække båden op på land.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.academia.edu/2989122/Gensyn_med_Syvsig_En_landsby_fra_yngre_romersk_jernalder_og_vikingetid', 'https://www.academia.edu/17877522/Henriksen_M_B_2009_Brudager_Mark_en_romertidsgravplads_n%C3%A6r_Gudme_p%C3%A5_Syd%C3%B8stfyn_Bind_1_Tekst_Fynske_Jernaldergrave_bd_6_1_Fynske_Studier_22_Odense']"
Korntørreovn,Grain-drying oven,brain,2,['Bronzealder' 'Middelalder'],"{'Bronzealder': 1, 'Middelalder': 1}","En korntørreovn er en traditionel metode til at tørre og opbevare korn, som ofte blev bygget i nærheden af gårde og som er kendetegnet ved sin særlige form og konstruktion.",['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen']
Arbejderbolig,Workers' housing,ring,2,['Jernalder' 'Nyere tid'],"{'Jernalder': 1, 'Nyere tid': 1}","En arbejderbolig er en type bolig, der er beregnet til at huse arbejdere, typisk fra en bestemt arbejdsgiver eller virksomhed. Dette kan være i form af lejligheder eller huse, og de blev ofte bygget tæt på fabrikker eller andre industrielle områder.","['https://ordnet.dk/ddo/ordbog?query=arbejderbolig', 'https://grunddatamodel.datafordeler.dk/objekttypekatalog/Matrikel/SamletFastEjendom.html', 'https://ordnet.dk/ddo/ordbog?query=arbejderbev%C3%A6gelse', 'https://da.glosbe.com/da/da/bolig', 'https://grunddatamodel.datafordeler.dk/EARoot/EA9/EA595.htm']"
Lejrplads,Campsite,paste,2,['Historisk Tid' 'Nyere tid'],"{'Historisk Tid': 1, 'Nyere tid': 1}","En lejrplads er et sted, hvor folk har oprettet midlertidige overnatningssteder, som ofte er udviklet til boliger eller rekreative områder.","['https://dictionary.cambridge.org/dictionary/english-danish/campsite', 'https://en.bab.la/dictionary/danish-english/teltplads', 'https://dictionary.cambridge.org/us/dictionary/learner-english/campsite', 'https://en.wiktionary.org/wiki/campsite', 'https://www.lawinsider.com/da/dictionary/lejrplads']"
Fyr,Fire,fire,2,Nyere tid,{'Nyere tid': 2},"Et fyr er et højt byggeri, som ofte er placeret ved kysten, som anvendes til at sende lys- eller lyddesignaler for at vejlede fartøjer.","['https://www.raa.se/2017/12/atta-fyrar-nya-byggnadsminnen/', 'https://www.journals.uchicago.edu/doi/full/10.1086/706608?fbclid=IwAR0Z4PcRG2yCFHaQzocnQCHMneLKG4O-20M389cSbMqMKLXnqS3ffmvv6R8']"
Skulptur,Sculpture,rev,2,Nyere tid,{'Nyere tid': 2},"En skulptur er et 3D-kunstværk, der er skabt af en skulptør og præsenteres i højde, bredde og dybde.","['https://dictionary.cambridge.org/dictionary/german-english/skulptur', 'https://en.wikipedia.org/wiki/Sculpture', 'https://www.collinsdictionary.com/dictionary/german-english/skulptur']"
Brunkulsleje,Brown coal bearing,ring,2,Nyere tid,{'Nyere tid': 2},"En brunkulsleje er et sted, hvor brunkul (brun eller sort kul) blev udvindet, typisk ved hjælp af en kulgruve eller lignende metode.","['https://da.wikipedia.org/wiki/Brunkul', 'https://ordnet.dk/ddo/ordbog?query=brunkul', 'https://ordnet.dk/ddo/ordbog?query=brunk%C3%A5l']"
Gangareal,Walking area,walking,2,['Historisk Tid' 'Middelalder'],"{'Historisk Tid': 1, 'Middelalder': 1}","Et gangareal er et sekundært område i en bygning, der består af gange og korridorer, som forbinder forskellige rum og områder.","['https://en.bab.la/dictionary/danish-english/gangareal', 'https://ordnet.dk/ddo/ordbog?query=gangareal', 'https://www.techdico.com/translation/danish-english/gangareal.html', 'https://da.wiktionary.org/wiki/gangareal', 'https://en.bab.la/dictionary/danish-english/gangplads']"
Badehus,Bathroom,at,1,Nyere tid,{'Nyere tid': 1},"Et badehus er et sted, hvor folk kan bade og slappe af i vandmiljøer, som ofte indeholder forskellige faciliteter som sauna eller spa.","['https://m.facebook.com/groups/www.havkystfolk.dk/posts/10161422815654293/', 'https://friluftsguiden.dk/?type=118&point_id=3865']"
Majtræ,Maywood,aws,1,Nyere tid,{'Nyere tid': 1},"Et majtræ er et træ, der ofte er en eg, som er forbundet med majfestligheder og symboliserer fornyelse og livlighed.","['https://m.facebook.com/groups/www.havkystfolk.dk/posts/10161422815654293/', 'https://friluftsguiden.dk/?type=118&point_id=3865']"
Papir,Paper,hand-paper,1,Nyere tid,{'Nyere tid': 1},"Papir er et tyndt materiale, der typisk er lavet af træmasse, som bruges til at skrive eller tegne på og er et vigtigt medium i bogudgaven.","['https://daisy.rigsarkivet.dk/arkivskabers_arkivserier?a=&b=&c=&d=&e=&f=&g=&h=&ngid=14195529&ngnid=&heid=&henid=&epid=&faid=&meid=&m2rid=&side=1&sort=3&dir=a&gsc=&int=&ep=&es=&ed=', 'https://trap.lex.dk/Rundh%C3%B8j,_Rungstedlund', 'https://www.tv2fyn.dk/odense/fortidsminder-dukker-op-af-aaen-man-laeser-om-det-i-eventyrboegerne', 'https://historisksamfundskive.dk/om-historisk-samfund-for-skive-og-omegn/bestyrelsen/18-foreningen/arrangementer/266-museum-salling-inviterer-til-national-fortidsmindedag']"
Dige (udskiftning),Dig (Replacement),peace,1,Nyere tid,{'Nyere tid': 1},"En dige er en vandtæt barriere, der er konstrueret for at kontrollere vandniveauet og forebygge oversvømmelser, typisk ved at regulere vandflowet mellem to områder.",['https://www.ft.dk/samling/20231/lovforslag/L166/bilag/1/2855710.pdf']
Domhus,Courthouse,th,1,Nyere tid,{'Nyere tid': 1},"Et domhus er et byggeri, som fungerer som en retssal og et administrativt centrum, hvor dommere eller myndigheder behandler juridiske sager og tager beslutninger.",['https://www.guide-til-dominikanske.dk/puerto-plata-og-nv.html']
Tankanlæg,Tankers,rss,1,Nyere tid,{'Nyere tid': 1},"Et tankanlæg er et sted, hvor der opbevares stort antal varer, som f.eks. olie, gas eller kemikalier, i store beholdere eller tanker.",['https://www.guide-til-dominikanske.dk/puerto-plata-og-nv.html']
El-anlæg,Electrical installations,eject,1,Nyere tid,{'Nyere tid': 1},"Et el-anlæg er et system eller en enhed, der forsyner et område eller en bygning med elektricitet. Dette kan være i form af et storkraftværk, et vindmøllepark eller et solcelleanlæg.","['https://www.tji.dk/index.php/el-anlaeg/', 'https://www.rigshospitalet.dk/maryelizabethshospital/konkurrencemateriale/Documents/Bilag%2003%20Teknisk%20Designmanual.pdf']"
Nødanlæg,Emergency installations,ember,1,Nyere tid,{'Nyere tid': 1},"Et nødanlæg er et sted, der er designet til at håndtere akutte situationer, såsom sygehuse, brandstationer eller politistationer. De er vigtige faciliteter, der beskytter og hjælper borgere i nød.","['https://www.tji.dk/index.php/el-anlaeg/', 'https://www.rigshospitalet.dk/maryelizabethshospital/konkurrencemateriale/Documents/Bilag%2003%20Teknisk%20Designmanual.pdf']"
Fortøjningspæl,Mooring pole,ring,1,Nyere tid,{'Nyere tid': 1},"Desværre kunne jeg ikke finde en definition af ""fortøjningspæl"" i de tilgængelige kilder. Jeg kan forsøge at søge efter lignende eller relaterede ord, hvis du ønsker.","['https://ordnet.dk/ddo/ordbog?query=fort%C3%B8jningsp%C3%A6l', 'https://dictionary.cambridge.org/da/ordbog/engelsk/bollard', 'https://mitkrydsord.dk/synonym/fort%C3%B8jningsp%C3%A6l', 'https://synonym-ordbog.dk/ord/fort%C3%B8jningsp%C3%A6l', 'https://krydsordexperten.dk/krydsord/fortoejningspaelen']"
Korntørreanlæg,Cereal drying plants,plane,1,Oldtid,{'Oldtid': 1},"Et korntørreanlæg er et sted, hvor korn bliver tørret og behandlet før lagring eller yderligere forarbejdelse. Dette var en vigtig proces i fortiden for at sikre, at kornet kunne beholdes længe og transportere det effektivt.",['http://www.aalborgkommuneplan.dk/planredegoerelse/sydoest-omraadet/redegoerelse-sydoest.aspx?altTemplate=OmraaderevisionPrint']
Missionshus,Mission House,user,1,Nyere tid,{'Nyere tid': 1},"Et missionshus er en bygning, der er tilknyttet religiøs aktivitet og uddannelse, ofte med fokus på missionærarbejde. De blev brugt til møder, undervisning og til at tilbyde hjælp til lokale samfund.","['https://da.wikipedia.org/wiki/Indre_Mission', 'https://trap.lex.dk/Farup_Missionshus,_K%C3%A6rb%C3%B8l', 'https://trap.lex.dk/Missionshuset_Bethania,_tidl.,_Esbjerg', 'https://www.kristendom.dk/folkekirkelige-organisationer/10-vigtige-ting-om-indre-mission']"
Sejlløb,Sailing services,dice,1,Vikingetid,{'Vikingetid': 1},"Et sejlløb er et afmærket farvand med bestemt dybde, der fører skibe over grunde, gennem sunde eller ind til havne. Det er en vigtig rute for navigation og transport på vandveje.","['https://dictzone.com/danish-english-dictionary/sejll%C3%B8b', 'https://krydsordexperten.dk/krydsord/sejlloeb', 'https://da.glosbe.com/da/da/sejll%C3%B8b', 'http://www.jmarcussen.dk/maritim/ordbog/term.php?id=12705']"
Kommandoanlæg,Command installations,icons,1,Nyere tid,{'Nyere tid': 1},"Et kommandoanlæg er et militært facilitet, der fungerer som en kontrol- og ledelsescenter for en hær eller flåde. Dette kan være et fysisk bygningskompleks eller en mobil enhed, der koordinerer strategisk planlægning og kommunikation.","['https://issuu.com/kunststyrelsen/docs/kold_krig_2013', 'https://www.yumpu.com/da/document/view/16362810/hent-baggrundsnotatet-den-kolde-krigs-anlaeg-kulturstyrelsen']"
Naturgas,Natural gas,at,1,Nyere tid,{'Nyere tid': 1},"Naturgas er en energirig type brændsel, der findes naturligt i jorden. Det bliver udvundet og anvendt til opvarmning, industrielt brug og som drivkraft for forskellige køretøjer.","['https://bygningsreglementet.dk/Historisk/Version-14/Tekniske-bestemmelser/11/BRV/Energiforbrug/Forord', 'https://kommuneplan2021.holbaek.dk/temaer/miljoe-og-energi/biogas-og-solcelleanlaeg/', 'https://bygningsreglementet.dk/Tekniske-bestemmelser/11/BRV/Energiforbrug-2?Layout=ShowAll']"
Vandpumpe,Water pump,at,1,Historisk Tid,{'Historisk Tid': 1},"En vandpumpe er en maskine, der anvendes til at transporterer vand, typisk fra en kilde til et reservoir eller direkte til forbrugere. De er vigtige i forsyningsinfrastrukturen og sikrer, at rene vandressourcer er tilgængelige til drikke og andre formål.","['https://en.bab.la/dictionary/danish-english/vandpumpe', 'https://glosbe.com/da/en/vandpumpe', 'https://glosbe.com/da/da/vandpumpe']"
Jagthytte,Hunting cabin,ring,1,Udateret,{'Udateret': 1},"En jagthytte er en lille, enkelt hytte, der er opført til formål om at skylde jægere under jagt.","['https://en.wiktionary.org/wiki/hytte', 'https://da.glosbe.com/da/da/jagthytte', 'https://en.wiktionary.org/wiki/jagt']"
Kirkestald,Church Hall,church,1,Middelalder,{'Middelalder': 1},"En kirkestald er en bygning, der er tilknyttet en kirke og bruges til opbevaring af religiøse artefakter, såsom altertavle, bibeler og andre hellige objekter. De kan også fungere som et sted for præster til at forberede tjenester og andre religiøse ritualer.","['https://www.yumpu.com/da/document/view/23991831/klassifikation-af-anlag-centralregistrering-11-1-kulturstyrelsen', 'https://www.yumpu.com/da/document/view/18375525/se-pdf-rapport-1-her-16-mb-mn']"
